Author	Quote_EN	Quote_FR
*Luna, 10年後の私になら / Only to me in 10 years (Kohana Lam's translation)	You are still sneaky, aren't you? You can't wait to escape	
*Luna, 10年後の私になら / Only to me in 10 years (Kohana Lam's translation)	You may not be able to run with these legs, but you are the one who chose trying to walk somehow	
*Luna, 8.32	Today is not today forever	Aujourd'hui n'est pas aujourd'hui pour toujours
*Luna, Adventure Log	I don't mind if it gets dirty because it looks better when it's worn out	Cela ne me dérange pas s'il se salit, car il est plus beau lorsqu'il est usé
*Luna, Check This Out	No matter what anyone said, I want you to notice it._Check this out!	
*Luna, Check This Out	You taught me that it's nice to be crazy	Tu m'es appris que c'était bien d'être fou
*Luna, INNATE	I'll smile so much that you'll be jealous	Je sourirai tellement que tu seras jaloux
*Luna, INNATE	Let's compete to see how much we can laugh on the worst days	Concourons pour voir à quel point nous pouvons rire le pire jour
*Luna, Ours	Because this is our first life, we've never had anything to lose	Parce que c'est notre première vie, nous n'avons jamais rien eu à perdre
*Luna, Rise Up (ElectricRaichu translation)	I will go at my own pace, because I can tell I am on the right track	J'avancerai à mon rythme, parce que je sais que je suis sur la bonne voie
*Luna, Rise Up (ElectricRaichu translation)	If you run away now, you will be back to square one	Si tu t'enfuis maintenant, tu reviendras à la case départ
*Luna, Rise Up (ElectricRaichu translation)	The flower as the windowsill bloomed though it used to be a bud	La fleur sur le rebord de la fenêtre a fleuri, même si c'était un bouton
*Luna, Rise Up (ElectricRaichu translation)	You know that all the roads you've taken are connected	Tu sais que tous les chemins que tu as empruntés sont reliés
*Luna, あの夏のいつかは (Someday in that Summer)	Failure is not scary at all, what's scary is to not leave anything behind	L'échec n'est pas du tout effrayant, ce qui est effrayant c'est de ne rien laisser derrière soi
*Luna, バッドエンドの映画は嫌いなんだ (I hate bad end movies)	Our "best" is still high in the sky, but we can already see our "worst" below	
*Luna, バッドエンドの映画は嫌いなんだ (I hate bad end movies)	Those bad end movie, I hate them! And I don't want to make myself the star of one	
*Luna, メタフィクション (Metafiction)	I see, it's boring if you get to the last boss in a straight line.	
*Luna, 僕らの夏はまた巡って (Our Summer Will Come Again)	There were a lot of bad times, weren't there?_But whenever I look back on it, those days seemed so beautiful	
*Luna, 僕らの夏はまた巡って (Our Summer Will Come Again)	Was getting dirty and hurt that scary?	Est-ce que se salir et se blesser était si effrayant ?
*Luna, 僕らの夏はまた巡って (Our Summer Will Come Again)	What's wrong with crying out loud whenever you fall, get scraped, or covered in mud?	
*Luna, 夏が僕らを呼ぶのなら (If Summer is calling us)	If there aren't enough promises, let's make them again and again	
*Luna, 夏が僕らを呼ぶのなら (If Summer is calling us)	We can surely become stronger, we can look up, and we can walk again	
*Luna, 彼方の破片 (Fragments Of The Beyond)	Let's give a star a name so that it can shine on someone	Donnons un nom à une étoile pour qu'elle puisse briller sur quelqu'un
*Luna, 徒然ファクター (Boredom Factor)	May I become your strength_because I want to laugh more by your side	Puisse-je devenir ta force_Parce que je veux rire davantage à tes côtés
Aesop's fable, The Fox and the Cat	Better one safe way than a hundred on which you cannot reckon	
iDOLM@STER, Akizuki Ryo	I believe that by chasing my dreams, I can encourage those who have lost sight of their own.	Je crois qu'en poursuivant mes rêves, je peux encourager ceux qui ont prendu de vue les leurs
Alexander Hamilton	I never expect to see a perfect work from an imperfect man	Je n'attends jamais une œuvre parfait d'un homme imparfait 
Antoine de Saint-Exupéry, Le Petit Prince		Fais de ta vie un rêve et d'un rêve une réalité
Antoine de Saint-Exupéry, Le Petit Prince	People where you live grow five thousand roses in one garden... yet they don't find what they're looking for...	
Arknights, Mizuki	Let's go Doctor. We have to set things right.	Allons-y, Docteur. Nous devons remettre les choses en ordre.
Bocchi The Rock!	You see, Nijika, the thing about dreams... is that when times get tough... they can be the light to guide your way	
CGP Grey	Even decelerating the negative is a positive	Même le ralentissement du négatif est positif
Ciel Phantomhive	Only complaining on your misfortune, you're nothing but a common pig!	Je me plains seulement de ton malheur, tu n'ne qu'un vulgaire carlin !
Deco*27, Love Words IV	How close are you to a dream come true?_To a place no one has been to?	Êtes-vous proche de réaliser un rêve ?_D'un endroit unconnu ?
Deco*27, Love Words IV	I'm singing a song like this to make you shine	Je chante une chanson comme celle-ci pour te faire briller
Deco*27, ハローセカイ (Hello Sekai)	Don't let the perfect future you give the current you such a hard time	Ne laisse pas le futur parfait toi, donner tant de fil à retordre au présent toi
Deco*27, ハローセカイ (Hello Sekai)	Useless worries, let's leave them in the dust	Soucis inutiles, laisson les dans la 
DECO*27 and 堀江晶太(kemu) - セカイ (Sekai)	It's okay to cry, it happens, you know? It's okay	C'est normal de pleurer, ça arriver, tu sais ? C'est normal
DECO*27 and 堀江晶太(kemu) - セカイ (Sekai)	Can you see your dreams coming true? We are never alone	Peut-tu voir tes rêves se réaliser ? Nous ne sommes jamais seuls
DECO*27 and 堀江晶太(kemu) - セカイ (Sekai)	I just realized that there are things that only I can do	Je viens de réaliser qu'il y a des choses que je suis le seul à pouvoir faire
Deltarune, Don't Forget	There's a light inside your soul_That's still shining in the cold	Il y a une lumière dans ton âme_Qui briller encore dans le froid
Edna Mode	I never look back darling, it distracts from the now.	
Eve, 群青讃歌(Ultramarine Hymn)	Illuminate the future by weaving yourself in the present	Illuminez le futur en vous intégrant au présent
Eve, 群青讃歌(Ultramarine Hymn)	You've made it all the way here while embracing a certain reason	Vous avex réussi à arriver jusqu'ici en embrassant une certaine raison
Girls last tour, Endless Journey	This endless road is not a mistake_It's to the future.	
Harumaki Gohan, Reunion	Let's make a promise to stay kids forever_If nobody gets hurt, stay as how our memories are	
Iscard Wilde	Be yourself; everyone else is already taken	Soyez vous-même, tous les autres sont déjà pris
Jason Gray, Sparrows	You can't add a single day by worrying_You'll worry your life away	
KZ-Livetune, ジュビリ	We searched so long for perfect sound, in midst of crying, we're always laughing, and that's what's pushing us along.	
KZlivetune, Far Away (bambooXZX's translation)	Maybe I'll come to love the unknown tomorrow	
Kz and 八王子P and 栗山夕璃, トリコロール (Tricolor) (Tackmyn Y. translation)	Whatever future lies ahead, you will be all right_You'll illuminate it with the light you're yet to know.	
Les Cowboys Fringants, Les étoiles filantes	Cause you know, to look too far ahead is no better than looking back	Parce que tsé, voir trop loin. C'past mieux que de r'garder en arrière.
Linus Torvalds	Me having to come up with a project is a failure of the world)	Le fait que je doive proposer un projet est un échec du monde
MgTyle	Chill, have some milk	Calme-toi, bois du lait
Mili, YUBIKIRI-GENMAN	It's okay if you take a break, for I will never stop	
MitchieP, Jikoaisei Kawaizm	I gotta love myself before I can fall in love with someone else, y'know?	Je dois m'aimer moi-même avant de pouvoir tomber amoureux de quelqu'un d'autre, tu sais ?
Moana 2	Trying in mandotary	Essayer est indispensable
Moana 2	No one likes sucking at their job	Personne n'aime être nul au travail
Moana 2	I spent my whole life learning our people's stories. Because of you, I get to live one.	J'ai passé ma vie à apprendre les histoires de nos gens. Grâce à toi, j'en vis une.
Nanatsukaze, Harumeku	I'd like to live like a cat someday, human desires are foolish	
OMORI, ???	Do you want to be asleep or awake?	Voulez-vous être endormi ou éveillé?
OMORI, BASIL	The photos in our album... They're not just photo. They're real memories.	
OMORI, Good Morning	Time to rise and shine! Good morning!	Il est temps de se lever et de briller ! Bonjour !
OMORI, HERO	Life gets better. You just have to stay positive.	La vie s'améliore. Il faut juste rester positif.
Orangestar, Daydream Skytrain (Translyrics by rachie)	But if we just focus on things that annoy us, we might miss the stars	
Orangestar, Daydream Skytrain (Translyrics by rachie)	Hey, don't just wait — make it happen instead	
Orangestar, Daydream Skytrain (Translyrics by rachie)	If we're gonna waste the summer, might as well we make them remember just what we can be	
PIKASONIC, ColorCode-F	If your dream is stained with someone else's color_Let's go back to the beginning color.	
PIKASONIC, First Magnitude Star	I want to sing this song to you_Who can't shine in a simple world	Je veux chanter cette chanson pour toi_Qui ne peux pas briller dans un monde simple
Qeiru, フィクション (Fiction)	...even if that's the case, my imagination, my adventure, is not a lie	
Qeiru, フィクション (Fiction)	Let's rest a little longer, until the sadness melts away	
Qeiru, 世界線第二ターミナル (World Line Terminal 2)	Hating the hopeless present, I throw it away, saying I don't know anymore	
Stardust Telepath	I don't think making other lose is the only condition of winning	
Stephen Hawking	So remember to look up at the stars and not down to your feet	Alors n'oubliez pas de regarder les étoiles et non vos pieds
Tayori, 風のたより / A Little Bird Told Me (sandoru translation)	The light when I am with you illuminates tomorrow	La lumière, quand je suis avec toi, illumine demain
Tayori, 風のたより / A Little Bird Told Me (sandoru translation)	It turns out that the sky I gaze up to today_Is of the same blue that I had imagined back then	Il s'avère que le ciel que je contemple aujourd'hui_Est du même bleu que celui que j'avais imaginé à l'époque
TryHardNinja, Dragonhearted	We got a fire that burns within	Nous avons un feu qui brûle en nous
TryHardNinja, Dragonhearted	We'll see the sun come up again_We will climb higher than we've been	Nous verrons le soleil se lever à nouveau_Nous escaladerons plus haut que ne nous l'avons jamais été
Yoshida, 夏空のSELFISH (Selfish in the summer sky)	A small happiness is fine, don't need anything else	
Zundamon's Theorem	If it doesn't make sense, feel free to ignore it for now	Si cela n'a pas de sense, n'hésitez pas à l'ignorer pour le moment
